																																																																																																																																																																																																																																																																																																																																																																																					
	Line	Equipment	Activity		Start	End	Duration																																																																																																																																																																																																																																																																																																																																																																														
					비전 외주 (엘라이트)	0	0																																																																																																																																																																																																																																																																																																																																																																														
					Supervisor(해체/장착 검수)	11	1																																																																																													1	1	1	1		1	1	1	1	1	1		1																																																																																																																																																																																																																																																																					
	13	Notcher(8대)	설계 및 내부 DR		02월 10일	02월 23일	14																																																																																																																																																																																																																																																																																																																																																																														
			고객사 DR		02월 27일	02월 27일	1																																																																																																																																																																																																																																																																																																																																																																														
			발주/제작		03월 09일	04월 24일	47																																																					PO 발행 후 출도																																																																																																																																																																																																																																																																																																																									
			하네스 작업/조립		04월 22일	04월 28일	7																																																																																																																																																																																																																																																																																																																																																																														
			본사 입고		04월 29일	04월 29일	1																																																																																																																																																																																																																																																																																																																																																																														
			발송 준비		04월 30일	05월 03일	4																																																																																																																																																																																																																																																																																																																																																																														
			FOB		05월 04일	05월 08일	5																																																																																																																																																																																																																																																																																																																																																																														
			현장 반입		05월 08일	05월 10일	3																																																																																																																																																																																																																																																																																																																																																																														
			해체(OY 내재화 시 검수)		04월 22일	04월 28일	7																																																																																																																																																																																																																																																																																																																																																																														
			조립(OY 내재화 시 검수)		05월 14일	05월 22일	9																																																																																																																																																																																																																																																																																																																																																																														
			기구세팅		05월 30일	06월 06일	8																																																																																																																																																																																																																																																																																																																																																																														
			공정세팅		06월 08일	06월 14일	7																																																																																																																																																																																																																																																																																																																																																																														
			UN Sample 대응		06월 15일	06월 21일	7																																																																																																																																																																																																																																																																																																																																																																														
			라인 인증		06월 22일	06월 28일	7																																																																																																																																																																																																																																																																																																																																																																														
			양산 대응		06월 29일	07월 12일	14																																																																																																																																																																																																																																																																																																																																																																														
			Manpower		Personnel	Total	Peak																																																																																																																																																																																																																																																																																																																																																																														
					Mechanical(소장포함)	63	4																																																																																																																																										4		4	4	4	4	4	4		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																									
					Vision	49	2																																																																																																																																										2		2	2	2	2	2	2		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																									
					Control	0	0																																																																																																																																																																																																																																																																																																																																																																														
					Safety Manager(안전)	42	1																																																																																																																																										1		1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																									
					비전 외주 (엘라이트)	63	4																																																																																																																																										4		4	4	4	4	4	4		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																									
					Supervisor(해체/장착 검수)	12	1																																																																																																				1	1	1	1		1	1																		1		1	1	1	1	1																																																																																																																																																																																																																																												
	12	Stacker(11대)	설계 및 내부 DR		01월 29일	02월 11일	14																																																																																																																																																																																																																																																																																																																																																																														
			고객사 DR		02월 12일	02월 12일	1																																																																																																																																																																																																																																																																																																																																																																														
			발주/제작		03월 09일	04월 27일	50																																																					PO 발행 후 출도																																																																																																																																																																																																																																																																																																																									
			하네스 작업/조립		04월 20일	05월 03일	14																																																																																																																																																																																																																																																																																																																																																																														
			본사 입고		05월 04일	05월 04일	1																																																																																																																																																																																																																																																																																																																																																																														
			발송 준비		05월 05일	05월 10일	6																																																																																																																																																																																																																																																																																																																																																																														
			FOB		05월 11일	05월 15일	5																																																																																																																																																																																																																																																																																																																																																																														
			현장 반입		05월 15일	05월 17일	3																																																																																																																																																																																																																																																																																																																																																																														
			해체(OY 내재화 시 검수)		04월 28일	05월 13일	16																																																																																																																																																																																																																																																																																																																																																																														
			전장작업		05월 22일	06월 04일	14																																																																																																																																																																																																																																																																																																																																																																														
			조립(OY 내재화 시 검수)		05월 21일	06월 04일	15																																																																																																																																																																																																																																																																																																																																																																														
			기구세팅+공정세팅		06월 05일	06월 19일	15																																																																																																																																																																																																																																																																																																																																																																														
			UN Sample 대응		06월 15일	06월 21일	7																																																																																																																																																																																																																																																																																																																																																																														
			라인 인증		06월 22일	06월 28일	7																																																																																																																																																																																																																																																																																																																																																																														
			양산 대응		06월 29일	07월 12일	14																																																																																																																																																																																																																																																																																																																																																																														
			Manpower		Personnel	Total	Peak																																																																																																																																																																																																																																																																																																																																																																														
					Mechanical(소장포함)	198	10																																																																																																																																					1	1	1	1	1	4	4	4	4	4	4	6	6		6	6	6	6	5	5		10	10	10	10	10	5	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3																																																																																																																																																																																									
					Vision	94	4																																																																																																																																					3	3	3	3	3	3	3	3	3	3	3	2	2		2	2	2	2	2	2		4	4	4	4	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																									
					Control	47	2																																																																																																																																										1	1	1	1	1	1	1	1		1	1	1	1	1	1		2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																									
					Electronical	61	5																																																																																																																																		3	3		5	5	5	5	5	5	5	5	5	5	5																																																																																																																																																																																																																															
					Safety Manager(안전)	54	2																																																																																																																																		1	1		1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																									
					Supervisor(해체/장착 검수)	37	2																																																																																																										1	1	1	1					1	1	1	1		1	1	1								2	2	2		2	2	2	2	2	2		2	2	2	2																																																																																																																																																																																																																															
